 1.00000     0.00000
 0.98860     0.00375
 0.97720     0.00750
 0.96115     0.01135
 0.94510     0.01520
 0.93223     0.01562
 0.91935     0.01605
 0.89360     0.01690
 0.88072     0.01733
 0.86785     0.01775
 0.84210     0.01860
 0.82641     0.01656
 0.81072     0.01452
 0.79504     0.01249
 0.77935     0.01045
 0.76366     0.00841
 0.74798     0.00637
 0.73229     0.00434
 0.71660     0.00230
 0.70059     -0.00038
 0.68457     -0.00307
 0.66856     -0.00576
 0.65255     -0.00845
 0.63653     -0.01113
 0.62052     -0.01382
 0.60451     -0.01651
 0.58850     -0.01920
 0.57236     -0.02066
 0.55622     -0.02212
 0.54009     -0.02359
 0.52395     -0.02505
 0.50781     -0.02651
 0.49167     -0.02797
 0.47554     -0.02944
 0.45940     -0.03090
 0.44340     -0.03177
 0.42740     -0.03265
 0.41140     -0.03352
 0.39540     -0.03440
 0.37940     -0.03528
 0.36340     -0.03615
 0.34740     -0.03703
 0.33140     -0.03790
 0.31691     -0.03828
 0.30242     -0.03865
 0.29518     -0.03884
 0.28794     -0.03902
 0.27345     -0.03940
 0.25896     -0.03977
 0.24447     -0.04015
 0.22998     -0.04052
 0.21550     -0.04090
 0.20377     -0.04057
 0.19203     -0.04025
 0.18029     -0.03993
 0.16855     -0.03960
 0.15681     -0.03928
 0.14508     -0.03895
 0.13334     -0.03862
 0.12160     -0.03830
 0.11233     -0.03695
 0.10305     -0.03560
 0.08450     -0.03290
 0.06875     -0.02915
 0.05300     -0.02540
 0.04060     -0.02110
 0.02820     -0.01680
 0.01920     -0.01230
 0.00000     0.00000
 0.00860     0.01990
 0.01090     0.02300
 0.01559     0.02644
 0.02028     0.02987
 0.02496     0.03331
 0.02965     0.03675
 0.03434     0.04019
 0.03902     0.04362
 0.04371     0.04706
 0.04840     0.05050
 0.05596     0.05365
 0.06352     0.05680
 0.07109     0.05995
 0.07865     0.06310
 0.08621     0.06625
 0.09377     0.06940
 0.10134     0.07255
 0.10890     0.07570
 0.11862     0.07805
 0.12835     0.08040
 0.13808     0.08275
 0.14780     0.08510
 0.15907     0.08702
 0.17035     0.08895
 0.18162     0.09087
 0.19290     0.09280
 0.20593     0.09410
 0.21897     0.09540
 0.23201     0.09670
 0.24505     0.09800
 0.25809     0.09930
 0.27113     0.10060
 0.28417     0.10190
 0.29720     0.10320
 0.31158     0.10387
 0.32595     0.10455
 0.34032     0.10522
 0.35470     0.10590
 0.36983     0.10592
 0.37739     0.10594
 0.38495     0.10595
 0.40008     0.10597
 0.41520     0.10600
 0.43033     0.10603
 0.44545     0.10605
 0.46058     0.10608
 0.47570     0.10610
 0.49095     0.10526
 0.50620     0.10443
 0.52145     0.10359
 0.53670     0.10275
 0.55195     0.10191
 0.56720     0.10107
 0.58245     0.10023
 0.59770     0.09940
 0.61203     0.09776
 0.62635     0.09613
 0.64067     0.09449
 0.65500     0.09285
 0.66932     0.09122
 0.68365     0.08958
 0.69798     0.08794
 0.71230     0.08630
 0.72494     0.08392
 0.73758     0.08155
 0.75022     0.07917
 0.76285     0.07680
 0.77548     0.07442
 0.78812     0.07205
 0.80076     0.06968
 0.81340     0.06730
 0.82801     0.06250
 0.84262     0.05770
 0.85723     0.05290
 0.87185     0.04810
 0.88647     0.04330
 0.90108     0.03850
 0.91569     0.03370
 0.93030     0.02890
 0.94280     0.02365
 0.95530     0.01840
 0.96155     0.01578
 0.96780     0.01315
 0.97405     0.01052
 0.98030     0.00790
 0.99015     0.00395
 1.00000     0.00000
